address,lanes,filename1,filename2
"1.0 N 4000 E, Jefferson County, ID",0.0,,
"1009.0 E 2700 N, Jefferson County, ID",0.0,,
"102.0 N 5050 E, Jefferson County, ID",0.0,,
"105.0 N 4698 E, Jefferson County, ID",0.0,,
"106.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"107.0 N 4682 E, Jefferson County, ID",0.0,,
"113.0 N 4925 E, Jefferson County, ID",0.0,,
"115.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"122.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"123.0 N 4700 E, Jefferson County, ID",2.0,Spencer's images/2/Jefferson_County_ID_img_0001.jpg,Spencer's images/2/Jefferson_County_ID_img_0002.jpg
"124.0 N 4500 E, Jefferson County, ID",2.0,Spencer's images/2/Jefferson_County_ID_img_0003.jpg,Spencer's images/2/Jefferson_County_ID_img_0004.jpg
"124.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"125.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1279.0 E North Lake Rd, Jefferson County, ID",0.0,,
"128.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"128.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"129.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"135.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"136.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"140.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"152.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"153.0 N 4663 E, Jefferson County, ID",0.0,,
"147.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"149.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"150.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1546.0 E North Lake Rd, Jefferson County, ID",0.0,,
"182.0 N 3950 E, Jefferson County, ID",0.0,,
"182.0 N 3990 E, Jefferson County, ID",0.0,,
"183.0 N 4000 E, Jefferson County, ID",0.0,,
"184.0 N 3990 E, Jefferson County, ID",0.0,,
"185.0 N 3990 E, Jefferson County, ID",0.0,,
"185.0 N 4000 E, Jefferson County, ID",0.0,,
"185.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1858.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1868.0 N Salmon Hwy, Jefferson County, ID",2.0,Spencer's images/2/Jefferson_County_ID_img_0005.jpg,Spencer's images/2/Jefferson_County_ID_img_0006.jpg
"187.0 N 3990 E, Jefferson County, ID",0.0,,
"1873.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1875.0 N 1025 E, Jefferson County, ID",0.0,,
"189.0 N 4000 E, Jefferson County, ID",0.0,,
"189.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2340.0 E 1900 N, Jefferson County, ID",0.0,,
"2340.0 E 2000 N, Jefferson County, ID",0.0,,
"2344.0 E 2000 N, Jefferson County, ID",0.0,,
"2347.0 E 2000 N, Jefferson County, ID",0.0,,
"2354.0 E 1900 N, Jefferson County, ID",0.0,,
"2368.0 N 2375 E, Jefferson County, ID",0.0,,
"238.0 N 4 W, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2381.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"239.0 Dove Ave, Jefferson County, ID",1.0,Spencer's images/1/Jefferson_County_ID_img_0007.jpg,Spencer's images/1/Jefferson_County_ID_img_0008.jpg
"239.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2391.0 N 600 E, Jefferson County, ID",2.0,Spencer's images/2/Jefferson_County_ID_img_0009.jpg,Spencer's images/2/Jefferson_County_ID_img_0010.jpg
"2393.0 E 1900 N, Jefferson County, ID",0.0,,
"2399.0 N 600 E, Jefferson County, ID",0.0,,
"2402.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2403.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2404.0 E 1900 N, Jefferson County, ID",0.0,,
"2408.0 E 2050 N, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2409.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"241.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"160.0 N 4600 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"163.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"166.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2871.0 E 657 N, Jefferson County, ID",0.0,,
"2869.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"287.0 N 4280 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"167.0 Dove Ave, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"167.0 Idaho Ave, Jefferson County, ID",1.0,Spencer's images/1/Jefferson_County_ID_img_0011.jpg,Spencer's images/1/Jefferson_County_ID_img_0012.jpg
"167.0 N 4800 E, Jefferson County, ID",0.0,,
"168.0 Dove Ave, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"169.0 N 4870 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2875.0 E 634 N, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"170.0 N 3950 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"170.0 N 4663 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"172.0 N 4663 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1758.0 N 1000 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"178.0 N 3900 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1791.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"18.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"190.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"191.0 N 3990 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1916.0 N 2350 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"192.0 N 3990 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"192.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"195.0 N 3990 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1962.0 N 2350 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"198.0 N 3990 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"198.0 N 4700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"4697.0 E 197 N, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1996.0 N 700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1997.0 N 700 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"1997.0 N 800 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"3403.0 E 493 N, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"3410.0 E 480 N, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"203.0 N 4500 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2043.0 N Old Butte Hwy, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2051.0 N Old Butte Hwy, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
"2060.0 N 1025 E, Jefferson County, ID",,img_000_.jpg,img_000_.jpg
